time,pressure,joint0,joint1,joint2,joint3,joint4,joint5,joint6,motor_temp0,motor_temp1,motor_temp2,motor_temp3,motor_temp4,motor_temp5,motor_temp6,sensor_id,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
1776184396.6686199,8.448,-6.498316065073175e-07,-0.5214815211289737,0.1997751986486348,-0.1792288328193756,-0.19977660377501416,-0.17922819738971027,-0.19977683208613367,46.0,45.0,42.0,45.0,42.0,46.0,44.0,8,7.5176,0,7.5176,0,0,0,0,0,0,7.5216,0,7.668
1776184396.7191818,8.4464,-6.498316065073175e-07,-0.49005189070639427,0.23077969467566212,-0.20704425616298808,-0.23078107169951387,-0.20704363344191606,-0.230781295444411,46.0,45.0,42.0,45.0,42.0,46.0,44.0,0,7.6136,0,8.0256,0,0,0,0,0,0,7.968,0,8.0032
1776184396.7192197,8.4464,-6.498316065073175e-07,-0.49005189070639427,0.23077969467566212,-0.20704425616298808,-0.23078107169951387,-0.20704363344191606,-0.230781295444411,46.0,45.0,42.0,45.0,42.0,46.0,44.0,1,0,0,0,7.6784,0,0,7.5456,0,7.7,0,0,0
1776184396.7192373,8.4464,-6.498316065073175e-07,-0.49005189070639427,0.23077969467566212,-0.20704425616298808,-0.23078107169951387,-0.20704363344191606,-0.230781295444411,46.0,45.0,42.0,45.0,42.0,46.0,44.0,2,7.76,0,7.8168,0,0,0,0,0,0,7.6864,0,7.6448
1776184396.7192545,8.4464,-6.498316065073175e-07,-0.49005189070639427,0.23077969467566212,-0.20704425616298808,-0.23078107169951387,-0.20704363344191606,-0.230781295444411,46.0,45.0,42.0,45.0,42.0,46.0,44.0,3,0,0,0,7.5056,0,0,7.2304,0,7.932,0,0,0
1776184396.7192702,8.4464,-6.498316065073175e-07,-0.49005189070639427,0.23077969467566212,-0.20704425616298808,-0.23078107169951387,-0.20704363344191606,-0.230781295444411,46.0,45.0,42.0,45.0,42.0,46.0,44.0,4,8.4464,0,7.5768,0,0,0,0,0,0,7.5656,0,7.56
1776184396.7192862,8.4464,-6.498316065073175e-07,-0.49005189070639427,0.23077969467566212,-0.20704425616298808,-0.23078107169951387,-0.20704363344191606,-0.230781295444411,46.0,45.0,42.0,45.0,42.0,46.0,44.0,5,0,0,0,7.5048,0,0,7.3296,0,7.78,0,0,0
1776184396.719302,8.4464,-6.498316065073175e-07,-0.49005189070639427,0.23077969467566212,-0.20704425616298808,-0.23078107169951387,-0.20704363344191606,-0.230781295444411,46.0,45.0,42.0,45.0,42.0,46.0,44.0,6,7.9832,0,7.608,0,0,0,0,0,0,8.3992,0,7.5152
1776184396.7193177,8.4464,-6.498316065073175e-07,-0.49005189070639427,0.23077969467566212,-0.20704425616298808,-0.23078107169951387,-0.20704363344191606,-0.230781295444411,46.0,45.0,42.0,45.0,42.0,46.0,44.0,7,7.5016,0,7.6704,0,0,0,0,0,0,7.5152,0,7.5272
1776184396.7193336,8.4464,-6.498316065073175e-07,-0.49005189070639427,0.23077969467566212,-0.20704425616298808,-0.23078107169951387,-0.20704363344191606,-0.230781295444411,46.0,45.0,42.0,45.0,42.0,46.0,44.0,8,7.516,0,7.5168,0,0,0,0,0,0,7.5216,0,7.6688
1776184396.769948,8.4464,-6.498316065073175e-07,-0.45925085289226636,0.26116410078214886,-0.23430337103972831,-0.26116545026552357,-0.23430276077307774,-0.2611656695355228,46.0,45.0,42.0,45.0,42.0,46.0,44.0,0,7.6136,0,8.0256,0,0,0,0,0,0,7.968,0,8.0032
1776184396.770016,8.4464,-6.498316065073175e-07,-0.45925085289226636,0.26116410078214886,-0.23430337103972831,-0.26116545026552357,-0.23430276077307774,-0.2611656695355228,46.0,45.0,42.0,45.0,42.0,46.0,44.0,1,0,0,0,7.6784,0,0,7.5456,0,7.7,0,0,0
1776184396.770036,8.4464,-6.498316065073175e-07,-0.45925085289226636,0.26116410078214886,-0.23430337103972831,-0.26116545026552357,-0.23430276077307774,-0.2611656695355228,46.0,45.0,42.0,45.0,42.0,46.0,44.0,2,7.76,0,7.8168,0,0,0,0,0,0,7.6864,0,7.6448
1776184396.7700534,8.4464,-6.498316065073175e-07,-0.45925085289226636,0.26116410078214886,-0.23430337103972831,-0.26116545026552357,-0.23430276077307774,-0.2611656695355228,46.0,45.0,42.0,45.0,42.0,46.0,44.0,3,0,0,0,7.5056,0,0,7.2304,0,7.932,0,0,0
1776184396.7700703,8.4464,-6.498316065073175e-07,-0.45925085289226636,0.26116410078214886,-0.23430337103972831,-0.26116545026552357,-0.23430276077307774,-0.2611656695355228,46.0,45.0,42.0,45.0,42.0,46.0,44.0,4,8.4464,0,7.5768,0,0,0,0,0,0,7.5656,0,7.56
1776184396.7700956,8.4464,-6.498316065073175e-07,-0.45925085289226636,0.26116410078214886,-0.23430337103972831,-0.26116545026552357,-0.23430276077307774,-0.2611656695355228,46.0,45.0,42.0,45.0,42.0,46.0,44.0,5,0,0,0,7.5048,0,0,7.3296,0,7.78,0,0,0
1776184396.770122,8.4464,-6.498316065073175e-07,-0.45925085289226636,0.26116410078214886,-0.23430337103972831,-0.26116545026552357,-0.23430276077307774,-0.2611656695355228,46.0,45.0,42.0,45.0,42.0,46.0,44.0,6,7.9832,0,7.608,0,0,0,0,0,0,8.3992,0,7.5152
1776184396.7701395,8.4464,-6.498316065073175e-07,-0.45925085289226636,0.26116410078214886,-0.23430337103972831,-0.26116545026552357,-0.23430276077307774,-0.2611656695355228,46.0,45.0,42.0,45.0,42.0,46.0,44.0,7,7.5016,0,7.6704,0,0,0,0,0,0,7.5152,0,7.5272
1776184396.7701566,8.4464,-6.498316065073175e-07,-0.45925085289226636,0.26116410078214886,-0.23430337103972831,-0.26116545026552357,-0.23430276077307774,-0.2611656695355228,46.0,45.0,42.0,45.0,42.0,46.0,44.0,8,7.516,0,7.5168,0,0,0,0,0,0,7.5216,0,7.6688
1776184396.8219967,8.4464,-6.498316065073175e-07,-0.42906583583442104,0.2909408187665059,-0.26101730361893377,-0.2909421412602131,-0.2610167055576162,-0.29094235614481234,46.0,45.0,42.0,45.0,42.0,46.0,44.0,0,7.6136,0,8.0256,0,0,0,0,0,0,7.968,0,8.0032
