time,pressure,joint0,joint1,joint2,joint3,joint4,joint5,joint6,motor_temp0,motor_temp1,motor_temp2,motor_temp3,motor_temp4,motor_temp5,motor_temp6,sensor_id,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
1776185420.5456889,8.3704,-0.1008837829444626,0.0,0.0,-0.15088233635577122,0.0,-0.1508822531933263,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,7,7.4744,0,7.6512,0,0,0,0,0,0,7.4696,0,7.4776
1776185420.5459127,8.3704,-0.1008837829444626,0.0,0.0,-0.15088233635577122,0.0,-0.1508822531933263,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,8,7.464,0,7.464,0,0,0,0,0,0,7.4712,0,7.6376
1776185420.5965686,8.3704,-0.11986610728557334,0.0,0.0,-0.1792646896286558,0.0,-0.17926460812945977,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,0,7.6088,0,8.016,0,0,0,0,0,0,7.9704,0,8.0216
1776185420.5966039,8.3704,-0.11986610728557334,0.0,0.0,-0.1792646896286558,0.0,-0.17926460812945977,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,1,0,0,0,7.7864,0,0,7.6216,0,7.7752,0,0,0
1776185420.59663,8.3704,-0.11986610728557334,0.0,0.0,-0.1792646896286558,0.0,-0.17926460812945977,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,2,7.6904,0,7.7712,0,0,0,0,0,0,7.6584,0,7.6016
1776185420.5966558,8.3704,-0.11986610728557334,0.0,0.0,-0.1792646896286558,0.0,-0.17926460812945977,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,3,0,0,0,7.488,0,0,7.2024,0,7.8976,0,0,0
1776185420.5966806,8.3704,-0.11986610728557334,0.0,0.0,-0.1792646896286558,0.0,-0.17926460812945977,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,4,8.3704,0,7.4984,0,0,0,0,0,0,7.4952,0,7.4896
1776185420.5967119,8.3704,-0.11986610728557334,0.0,0.0,-0.1792646896286558,0.0,-0.17926460812945977,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,5,0,0,0,7.48,0,0,7.2896,0,7.7472,0,0,0
1776185420.5967271,8.3704,-0.11986610728557334,0.0,0.0,-0.1792646896286558,0.0,-0.17926460812945977,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,6,7.9488,0,7.548,0,0,0,0,0,0,8.3416,0,7.4656
1776185420.596742,8.3704,-0.11986610728557334,0.0,0.0,-0.1792646896286558,0.0,-0.17926460812945977,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,7,7.4744,0,7.652,0,0,0,0,0,0,7.4688,0,7.4784
1776185420.5967565,8.3704,-0.11986610728557334,0.0,0.0,-0.1792646896286558,0.0,-0.17926460812945977,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,8,7.4632,0,7.4648,0,0,0,0,0,0,7.4728,0,7.6368
1776185420.6473787,8.3704,-0.13846878513986188,0.0,0.0,-0.20707939583608267,0.0,-0.20707931596687057,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,0,7.6088,0,8.016,0,0,0,0,0,0,7.9704,0,8.0216
1776185420.6474192,8.3704,-0.13846878513986188,0.0,0.0,-0.20707939583608267,0.0,-0.20707931596687057,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,1,0,0,0,7.7864,0,0,7.6216,0,7.7752,0,0,0
1776185420.6474469,8.3704,-0.13846878513986188,0.0,0.0,-0.20707939583608267,0.0,-0.20707931596687057,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,2,7.6904,0,7.7712,0,0,0,0,0,0,7.6584,0,7.6016
1776185420.6474638,8.3704,-0.13846878513986188,0.0,0.0,-0.20707939583608267,0.0,-0.20707931596687057,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,3,0,0,0,7.488,0,0,7.2024,0,7.8976,0,0,0
1776185420.647479,8.3704,-0.13846878513986188,0.0,0.0,-0.20707939583608267,0.0,-0.20707931596687057,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,4,8.3704,0,7.4984,0,0,0,0,0,0,7.4952,0,7.4896
1776185420.6474943,8.3704,-0.13846878513986188,0.0,0.0,-0.20707939583608267,0.0,-0.20707931596687057,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,5,0,0,0,7.48,0,0,7.2896,0,7.7472,0,0,0
1776185420.647509,8.3704,-0.13846878513986188,0.0,0.0,-0.20707939583608267,0.0,-0.20707931596687057,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,6,7.9488,0,7.548,0,0,0,0,0,0,8.3416,0,7.4656
1776185420.6475239,8.3704,-0.13846878513986188,0.0,0.0,-0.20707939583608267,0.0,-0.20707931596687057,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,7,7.4744,0,7.652,0,0,0,0,0,0,7.4688,0,7.4784
1776185420.6475394,8.3704,-0.13846878513986188,0.0,0.0,-0.20707939583608267,0.0,-0.20707931596687057,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,8,7.4632,0,7.4648,0,0,0,0,0,0,7.4728,0,7.6368
1776185420.6982973,8.3712,-0.15669940943706465,0.0,0.0,-0.234337807919361,0.0,-0.23433772964753316,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,0,7.608,0,8.0152,0,0,0,0,0,0,7.9712,0,8.0208
1776185420.698358,8.3712,-0.15669940943706465,0.0,0.0,-0.234337807919361,0.0,-0.23433772964753316,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,1,0,0,0,7.7872,0,0,7.62,0,7.776,0,0,0
1776185420.698392,8.3712,-0.15669940943706465,0.0,0.0,-0.234337807919361,0.0,-0.23433772964753316,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,2,7.6896,0,7.7704,0,0,0,0,0,0,7.6576,0,7.6016
1776185420.6984246,8.3712,-0.15669940943706465,0.0,0.0,-0.234337807919361,0.0,-0.23433772964753316,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,3,0,0,0,7.4872,0,0,7.2024,0,7.8992,0,0,0
1776185420.6984549,8.3712,-0.15669940943706465,0.0,0.0,-0.234337807919361,0.0,-0.23433772964753316,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,4,8.3712,0,7.4984,0,0,0,0,0,0,7.4952,0,7.4888
1776185420.6984859,8.3712,-0.15669940943706465,0.0,0.0,-0.234337807919361,0.0,-0.23433772964753316,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,5,0,0,0,7.48,0,0,7.2864,0,7.7456,0,0,0
