time,step,sensor_id,joint0,joint1,joint2,joint3,joint4,joint5,joint6,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
1773781464.5971725,0.20512820512820512,4,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,8.4288,0,7.572,0,0,0,0,0,0,7.4448,0,7.4432
1773781464.5991561,0.20512820512820512,5,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,0,0,0,7.4696,0,0,7.444,0,7.8768,0,0,0
1773781464.6010087,0.20512820512820512,6,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.9656,0,7.5152,0,0,0,0,0,0,8.3896,0,7.4536
1773781464.602852,0.20512820512820512,7,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.5136,0,7.692,0,0,0,0,0,0,7.4552,0,7.46
1773781464.6050353,0.20512820512820512,8,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.4424,0,7.4504,0,0,0,0,0,0,7.456,0,7.6984
1773781464.8086472,0.23076923076923075,0,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.5664,0,7.9504,0,0,0,0,0,0,7.9128,0,7.8448
1773781464.8103032,0.23076923076923075,1,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,0,0,0,7.8624,0,0,7.6208,0,7.8328,0,0,0
1773781464.8115888,0.23076923076923075,2,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.6536,0,8.2416,0,0,0,0,0,0,7.8816,0,7.5136
1773781464.813128,0.23076923076923075,3,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,0,0,0,7.4808,0,0,7.384,0,7.8984,0,0,0
1773781464.8145673,0.23076923076923075,4,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,8.4296,0,7.5728,0,0,0,0,0,0,7.4456,0,7.4424
1773781464.8165946,0.23076923076923075,5,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,0,0,0,7.468,0,0,7.4432,0,7.8768,0,0,0
1773781464.8190944,0.23076923076923075,6,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.9648,0,7.5144,0,0,0,0,0,0,8.3896,0,7.4544
1773781464.8218906,0.23076923076923075,7,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.5144,0,7.692,0,0,0,0,0,0,7.4544,0,7.46
1773781464.8239634,0.23076923076923075,8,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.4416,0,7.4504,0,0,0,0,0,0,7.4568,0,7.6968
1773781465.0276315,0.2564102564102564,0,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.5656,0,7.9512,0,0,0,0,0,0,7.9112,0,7.8456
1773781465.0293858,0.2564102564102564,1,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,0,0,0,7.8632,0,0,7.6216,0,7.832,0,0,0
1773781465.0308697,0.2564102564102564,2,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.6528,0,8.2352,0,0,0,0,0,0,7.8784,0,7.5136
1773781465.0326989,0.2564102564102564,3,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,0,0,0,7.48,0,0,7.3832,0,7.8992,0,0,0
1773781465.0345979,0.2564102564102564,4,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,8.4288,0,7.572,0,0,0,0,0,0,7.444,0,7.4448
1773781465.0368788,0.2564102564102564,5,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,0,0,0,7.468,0,0,7.4432,0,7.8776,0,0,0
1773781465.0387278,0.2564102564102564,6,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.9656,0,7.5136,0,0,0,0,0,0,8.3896,0,7.4544
1773781465.040479,0.2564102564102564,7,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.5136,0,7.692,0,0,0,0,0,0,7.4552,0,7.4608
1773781465.042104,0.2564102564102564,8,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.4424,0,7.4504,0,0,0,0,0,0,7.4568,0,7.6976
1773781465.2459943,0.28205128205128205,0,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.5656,0,7.9512,0,0,0,0,0,0,7.9112,0,7.8456
1773781465.2503529,0.28205128205128205,1,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,0,0,0,7.8632,0,0,7.6216,0,7.832,0,0,0
1773781465.2527518,0.28205128205128205,2,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.6528,0,8.2352,0,0,0,0,0,0,7.8784,0,7.5136
1773781465.255509,0.28205128205128205,3,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,0,0,0,7.48,0,0,7.3832,0,7.8992,0,0,0
1773781465.2579956,0.28205128205128205,4,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,8.4288,0,7.572,0,0,0,0,0,0,7.444,0,7.4448
1773781465.2606971,0.28205128205128205,5,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,0,0,0,7.468,0,0,7.4432,0,7.8776,0,0,0
1773781465.262892,0.28205128205128205,6,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.9656,0,7.5136,0,0,0,0,0,0,8.3896,0,7.4544
1773781465.2650797,0.28205128205128205,7,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.5136,0,7.692,0,0,0,0,0,0,7.4552,0,7.4608
1773781465.268721,0.28205128205128205,8,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.4424,0,7.4504,0,0,0,0,0,0,7.4568,0,7.6976
1773781465.4718003,0.3076923076923077,0,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.5672,0,7.9528,0,0,0,0,0,0,7.9112,0,7.8464
1773781465.4736848,0.3076923076923077,1,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,0,0,0,7.864,0,0,7.6216,0,7.8328,0,0,0
1773781465.475692,0.3076923076923077,2,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.652,0,8.2208,0,0,0,0,0,0,7.8808,0,7.5128
1773781465.4770474,0.3076923076923077,3,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,0,0,0,7.48,0,0,7.3824,0,7.8984,0,0,0
1773781465.4788506,0.3076923076923077,4,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,8.4288,0,7.5736,0,0,0,0,0,0,7.4456,0,7.4432
1773781465.4807649,0.3076923076923077,5,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,0,0,0,7.4672,0,0,7.4432,0,7.8776,0,0,0
1773781465.4821632,0.3076923076923077,6,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.9664,0,7.5136,0,0,0,0,0,0,8.3896,0,7.4544
1773781465.4838536,0.3076923076923077,7,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.5136,0,7.692,0,0,0,0,0,0,7.4552,0,7.4608
1773781465.4857094,0.3076923076923077,8,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.4424,0,7.4504,0,0,0,0,0,0,7.4568,0,7.6984
1773781465.689628,0.3333333333333333,0,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.5664,0,7.952,0,0,0,0,0,0,7.912,0,7.8456
1773781465.6916723,0.3333333333333333,1,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,0,0,0,7.864,0,0,7.6232,0,7.832,0,0,0
1773781465.6933403,0.3333333333333333,2,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.6488,0,8.3016,0,0,0,0,0,0,7.8736,0,7.5136
1773781465.6946175,0.3333333333333333,3,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,0,0,0,7.48,0,0,7.3832,0,7.8984,0,0,0
1773781465.6967957,0.3333333333333333,4,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,8.4288,0,7.5728,0,0,0,0,0,0,7.4456,0,7.444
1773781465.6993997,0.3333333333333333,5,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,0,0,0,7.4672,0,0,7.4424,0,7.8768,0,0,0
1773781465.7018015,0.3333333333333333,6,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.9664,0,7.5144,0,0,0,0,0,0,8.3888,0,7.4528
1773781465.7041934,0.3333333333333333,7,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.5144,0,7.6928,0,0,0,0,0,0,7.4544,0,7.4608
