time,step,sensor_id,joint0,joint1,joint2,joint3,joint4,joint5,joint6,motor_temp0,motor_temp1,motor_temp2,motor_temp3,motor_temp4,motor_temp5,motor_temp6,sensor_temp,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
1773868957.9268658,0.10256410256410256,6,0.0,-0.06443589743589742,0.6506410256410257,-0.5837179487179487,-0.6506410256410257,-0.5837179487179487,-0.6506410256410257,47.0,49.0,44.0,46.0,41.0,47.0,43.0,40.0,7.9024,0,7.5456,0,0,0,0,0,0,8.3568,0,7.4664
1773868957.9280658,0.10256410256410256,7,0.0,-0.06443589743589742,0.6506410256410257,-0.5837179487179487,-0.6506410256410257,-0.5837179487179487,-0.6506410256410257,47.0,49.0,44.0,46.0,41.0,47.0,43.0,41.0,7.488,0,7.6792,0,0,0,0,0,0,7.4616,0,7.4768
1773868957.9291117,0.10256410256410256,8,0.0,-0.06443589743589742,0.6506410256410257,-0.5837179487179487,-0.6506410256410257,-0.5837179487179487,-0.6506410256410257,47.0,49.0,44.0,46.0,41.0,47.0,43.0,41.0,7.4664,0,7.4824,0,0,0,0,0,0,7.4792,0,7.6904
1773868958.1316516,0.1282051282051282,0,0.0,-0.03259487179487178,0.6820512820512821,-0.6118974358974358,-0.6820512820512821,-0.6118974358974358,-0.6820512820512821,47.0,49.0,44.0,46.0,41.0,47.0,43.0,40.0,7.6064,0,8.0224,0,0,0,0,0,0,7.9528,0,7.8672
1773868958.133342,0.1282051282051282,1,0.0,-0.03259487179487178,0.6820512820512821,-0.6118974358974358,-0.6820512820512821,-0.6118974358974358,-0.6820512820512821,47.0,49.0,44.0,46.0,41.0,47.0,43.0,0.0,0,0,0,7.7024,0,0,7.56,0,7.7192,0,0,0
1773868958.1348157,0.1282051282051282,2,0.0,-0.03259487179487178,0.6820512820512821,-0.6118974358974358,-0.6820512820512821,-0.6118974358974358,-0.6820512820512821,47.0,49.0,44.0,46.0,41.0,47.0,43.0,37.0,7.6664,0,7.032,0,0,0,0,0,0,7.6376,0,7.4984
1773868958.1362793,0.1282051282051282,3,0.0,-0.03259487179487178,0.6820512820512821,-0.6118974358974358,-0.6820512820512821,-0.6118974358974358,-0.6820512820512821,47.0,49.0,44.0,46.0,41.0,47.0,43.0,0.0,0,0,0,7.4568,0,0,7.2672,0,7.7472,0,0,0
1773868958.1385083,0.1282051282051282,4,0.0,-0.03259487179487178,0.6820512820512821,-0.6118974358974358,-0.6820512820512821,-0.6118974358974358,-0.6820512820512821,47.0,49.0,44.0,46.0,41.0,47.0,43.0,37.0,8.4808,0,7.3712,0,0,0,0,0,0,7.4784,0,7.4664
1773868958.140761,0.1282051282051282,5,0.0,-0.03259487179487178,0.6820512820512821,-0.6118974358974358,-0.6820512820512821,-0.6118974358974358,-0.6820512820512821,47.0,49.0,44.0,46.0,41.0,47.0,43.0,0.0,0,0,0,7.4616,0,0,7.3568,0,7.736,0,0,0
1773868958.1429982,0.1282051282051282,6,0.0,-0.03259487179487178,0.6820512820512821,-0.6118974358974358,-0.6820512820512821,-0.6118974358974358,-0.6820512820512821,47.0,49.0,44.0,46.0,41.0,47.0,43.0,40.0,7.9024,0,7.5456,0,0,0,0,0,0,8.356,0,7.4672
1773868958.1450827,0.1282051282051282,7,0.0,-0.03259487179487178,0.6820512820512821,-0.6118974358974358,-0.6820512820512821,-0.6118974358974358,-0.6820512820512821,47.0,49.0,44.0,46.0,41.0,47.0,43.0,41.0,7.488,0,7.6792,0,0,0,0,0,0,7.4624,0,7.4776
1773868958.147262,0.1282051282051282,8,0.0,-0.03259487179487178,0.6820512820512821,-0.6118974358974358,-0.6820512820512821,-0.6118974358974358,-0.6820512820512821,47.0,49.0,44.0,46.0,41.0,47.0,43.0,41.0,7.4656,0,7.4816,0,0,0,0,0,0,7.4792,0,7.6912
1773868958.3506808,0.15384615384615385,0,0.0,-0.000753846153846105,0.7134615384615385,-0.6400769230769231,-0.7134615384615385,-0.6400769230769231,-0.7134615384615385,47.0,49.0,44.0,46.0,41.0,47.0,43.0,40.0,7.6056,0,8.0216,0,0,0,0,0,0,7.952,0,7.8688
1773868958.3523755,0.15384615384615385,1,0.0,-0.000753846153846105,0.7134615384615385,-0.6400769230769231,-0.7134615384615385,-0.6400769230769231,-0.7134615384615385,47.0,49.0,44.0,46.0,41.0,47.0,43.0,0.0,0,0,0,7.7032,0,0,7.56,0,7.7192,0,0,0
1773868958.353957,0.15384615384615385,2,0.0,-0.000753846153846105,0.7134615384615385,-0.6400769230769231,-0.7134615384615385,-0.6400769230769231,-0.7134615384615385,47.0,49.0,44.0,46.0,41.0,47.0,43.0,37.0,7.6656,0,7.0296,0,0,0,0,0,0,7.6376,0,7.4976
1773868958.3583372,0.15384615384615385,3,0.0,-0.000753846153846105,0.7134615384615385,-0.6400769230769231,-0.7134615384615385,-0.6400769230769231,-0.7134615384615385,47.0,49.0,44.0,46.0,41.0,47.0,43.0,0.0,0,0,0,7.4568,0,0,7.2672,0,7.748,0,0,0
1773868958.3607514,0.15384615384615385,4,0.0,-0.000753846153846105,0.7134615384615385,-0.6400769230769231,-0.7134615384615385,-0.6400769230769231,-0.7134615384615385,47.0,49.0,44.0,46.0,41.0,47.0,43.0,37.0,8.4816,0,7.3704,0,0,0,0,0,0,7.4784,0,7.4656
1773868958.3622332,0.15384615384615385,5,0.0,-0.000753846153846105,0.7134615384615385,-0.6400769230769231,-0.7134615384615385,-0.6400769230769231,-0.7134615384615385,47.0,49.0,44.0,46.0,41.0,47.0,43.0,0.0,0,0,0,7.4616,0,0,7.3544,0,7.7352,0,0,0
1773868958.3644857,0.15384615384615385,6,0.0,-0.000753846153846105,0.7134615384615385,-0.6400769230769231,-0.7134615384615385,-0.6400769230769231,-0.7134615384615385,47.0,49.0,44.0,46.0,41.0,47.0,43.0,40.0,7.9032,0,7.5464,0,0,0,0,0,0,8.356,0,7.4672
1773868958.367137,0.15384615384615385,7,0.0,-0.000753846153846105,0.7134615384615385,-0.6400769230769231,-0.7134615384615385,-0.6400769230769231,-0.7134615384615385,47.0,49.0,44.0,46.0,41.0,47.0,43.0,41.0,7.488,0,7.6792,0,0,0,0,0,0,7.4616,0,7.4776
1773868958.3694627,0.15384615384615385,8,0.0,-0.000753846153846105,0.7134615384615385,-0.6400769230769231,-0.7134615384615385,-0.6400769230769231,-0.7134615384615385,47.0,49.0,44.0,46.0,41.0,47.0,43.0,41.0,7.4656,0,7.4824,0,0,0,0,0,0,7.4784,0,7.6896
